filename,spanning_pct,rows_count,column_count,total_cells,aspect_ratio,width_added,height_added,is_complex,area_added
000003799615000064_f0930201510-q-t7,0.4444444444444444,27,9,135,1.3395029085140138,1266,321,1,-8042275
000002134416000050_a2015123110-k-t79,0.13333333333333333,6,5,26,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t649,0.4,5,9,27,5.692134831460674,0,410,1,-2079593
000007085816000166_bac-331201610xq-t248,0.37333333333333335,30,5,94,1.1858614232209739,1266,198,1,-7421690
000002134416000050_a2015123110-k-t46,0.36904761904761907,12,7,53,2.792723263506064,0,179,1,-909347
000007085816000166_bac-331201610xq-t216,0.4142857142857143,10,7,41,2.898169336384439,0,196,1,-992936
000007085816000166_bac-331201610xq-t545,0.375,16,9,90,2.164957264957265,0,48,1,-243168
000007085816000166_bac-331201610xq-t381,0.40555555555555556,40,9,214,0.8903339191564148,1578,0,1,-8981665
000003799615000064_f0930201510-q-t30,0.34285714285714286,14,5,46,2.332412523020258,0,90,1,-455940
000009341016000049_cvx-123115x10kdoc-t2,0.0,2,3,6,6.696275071633238,0,409,0,-1914003
000006480316000074_cvs-20151231x10k-t5,0.16326530612244897,7,7,41,4.382352941176471,0,344,1,-1742704
000007085816000166_bac-331201610xq-t479,0.3888888888888889,12,9,66,2.792723263506064,0,179,1,-909347
000002134416000050_a2015123110-k-t107,0.2857142857142857,6,7,30,4.956947162426615,0,377,1,-1912415
000003799620000010_f1231201910-k-t56,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000003799620000010_f1231201910-k-t57,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000002134416000050_a2015123110-k-t296,0.3333333333333333,9,7,42,3.582743988684583,0,279,1,-1415947
000003799620000010_f1231201910-k-t157,0.25,9,8,54,3.582743988684583,0,279,1,-1415947
000003799615000064_f0930201510-q-t64,0.37777777777777777,10,9,56,3.272609819121447,0,246,1,-1246236
000003799620000010_f1231201910-k-t55,0.32142857142857145,8,7,38,3.9271317829457364,0,310,1,-1572993
000003799615000064_f0930201510-q-t101,0.34,10,5,33,3.272609819121447,0,246,1,-1246236
000009341016000049_cvx-123115x10kdoc-t36,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000002134416000050_a2015123110-k-t187,0.14285714285714285,9,7,54,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t623,0.41836734693877553,14,7,57,2.444980694980695,0,115,1,-582590
000007085816000166_bac-331201610xq-t302,0.52,20,25,240,1.6011378002528445,1266,475,1,-8824972
000009341016000049_cvx-123115x10kdoc-t169,0.0,22,2,44,0.9174212241941325,1494,0,0,-8252629
000003799620000010_f1231201910-k-t295,0.3939393939393939,11,9,60,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t143,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t309,0.5128205128205128,6,13,38,4.515151515151516,0,352,1,-1785765
000007085816000166_bac-331201610xq-t334,0.37575757575757573,33,5,103,1.041529605263158,1266,50,1,-6671922
000002134416000050_a2015123110-k-t301,0.2857142857142857,6,7,30,4.956947162426615,0,377,1,-1912415
000009341016000049_cvx-123115x10kdoc-t137,0.2,5,3,12,5.692134831460674,0,410,1,-2079593
